"carat","cut","color","clarity","depth","table","price","x","y","z"
2.08,"Premium","I","VS2",58.9,61,18447,8.36,8.35,4.92
2.03,"Premium","E","SI2",61.5,59,18477,8.24,8.16,5.04
2.16,"Premium","I","VS2",58.7,60,18481,8.54,8.5,5
2.57,"Premium","J","SI1",63,58,18485,8.77,8.65,5.49
2.02,"Premium","F","SI2",61.7,58,18487,8.15,8.11,5.02
2,"Premium","F","SI1",62.6,59,18493,8.1,8.04,5.05
2.38,"Premium","H","VS1",60.9,59,18522,8.62,8.59,5.24
3.04,"Premium","I","SI2",59.3,60,18559,9.51,9.46,5.62
2.38,"Premium","J","VS2",62.1,58,18559,8.54,8.49,5.29
2.09,"Premium","H","SI1",61.1,56,18559,8.3,8.23,5.05
2.11,"Premium","D","SI2",60.9,60,18575,8.28,8.21,5.02
2.29,"Premium","J","IF",61.4,60,18594,8.49,8.45,5.2
2.07,"Premium","F","SI2",60.7,59,18611,8.21,8.16,4.97
2.42,"Premium","J","VS2",61.3,59,18615,8.61,8.58,5.27
2.29,"Premium","I","VS2",60.8,60,18653,8.47,8.5,5.16
2.12,"Premium","H","SI1",61.1,60,18656,8.18,8.26,5.02
2.02,"Premium","F","SI2",62.1,56,18678,8.07,7.99,4.99
2.03,"Premium","G","VS2",59.6,60,18680,8.27,8.21,4.91
2.43,"Premium","J","VS2",62.2,57,18692,8.63,8.54,5.34
3.51,"Premium","J","VS2",62.5,59,18701,9.66,9.63,6.03
2.01,"Premium","G","SI2",61.2,57.2,18705,8.08,8.14,4.97
2.22,"Premium","J","VS1",60,60,18706,8.49,8.43,5.08
3.01,"Premium","J","SI2",60.7,59,18710,9.35,9.22,5.64
3.01,"Premium","J","SI2",59.7,58,18710,9.41,9.32,5.59
2.18,"Premium","F","SI1",61.2,60,18717,8.38,8.3,5.1
2.01,"Premium","G","SI1",60.3,59,18741,8.23,8.15,4.94
2.36,"Premium","H","SI2",59.4,58,18745,8.69,8.75,5.18
2.55,"Premium","I","VS1",61.8,62,18766,8.7,8.65,5.36
2.05,"Premium","F","SI2",60.2,59,18784,8.28,8.33,5
2.04,"Premium","H","SI1",58.1,60,18795,8.37,8.28,4.84
2,"Premium","I","VS1",60.8,59,18795,8.13,8.02,4.91
2.29,"Premium","I","SI1",61.8,59,18797,8.52,8.45,5.24
2.29,"Premium","I","VS2",60.8,60,18823,8.5,8.47,5.16
